# Scales historical SSP GDP data to GCAM3 GDP data.
# Calculates future GDP based on ratio of GCAM3 future to 2010 value.
iso,year,value
kor,1986,161835.69206002905
esp,1986,477306.81302321743
lka,1986,11983.79752956254
lca,1986,417.1177388120744
vct,1986,205.3913711896642
sdn,1986,11152.71966590895
sur,1986,1602.8372277951019
swz,1986,926.1120488982518
swe,1986,193188.59168543282
che,1986,251181.2995315774
syr,1986,13197.404018112644
twn,1986,73519.43325248416
tjk,1986,4257.801159736753
tza,1986,6654.220815414686
tha,1986,60369.78285029716
tgo,1986,1224.0960425824182
ton,1986,162.65616830729786
tto,1986,5711.2006622294675
tun,1986,10314.878803828848
tur,1986,196291.00659428275
tkm,1986,4659.026774142845
uga,1986,2540.524056729591
ukr,1986,128998.76443917563
are,1986,61992.87555130853
gbr,1986,941731.6765839796
usa,1986,5248702.844518389
ury,1986,12696.056883196268
uzb,1986,9578.082693103208
vut,1986,229.16949765514067
ven,1986,108423.63925847698
vnm,1986,15813.77061366544
yem,1986,6795.025032136809
zmb,1986,5147.604439787563
afg,1987,5261.429669076149
alb,1987,4313.1699255723215
dza,1987,58246.99129242695
ago,1987,16090.476979690973
arg,1987,146756.97237931754
arm,1987,4067.429880833225
aus,1987,370192.14661146794
aut,1987,153288.55972271264
aze,1987,16895.88442094644
bhs,1987,4669.91644833
bhr,1987,5231.503276525107
bgd,1987,24987.348428317837
brb,1987,2324.26278973953
blr,1987,19025.56982385157
bel,1987,194776.62000875306
blz,1987,257.91867775018034
ben,1987,1828.075815610239
btn,1987,223.6738992019936
bol,1987,5496.694312458185
bih,1987,1203.4145008808941
bwa,1987,2433.2493345377043
bra,1987,787116.7200751225
brn,1987,6259.705664208485
bgr,1987,24552.146493551238
bfa,1987,1847.0555993725015
mmr,1987,4678.595410521858
bdi,1987,1067.302149321188
khm,1987,2423.8523948733855
cmr,1987,12274.696738476106
can,1987,625074.0542100235
cpv,1987,188.23828326284072
caf,1987,895.5552032826683
tcd,1987,1750.896403762401
chl,1987,42611.635303434865
chn,1987,454452.62899373844
col,1987,85582.71193317391
cod,1987,17297.390936336928
cog,1987,4141.862102334851
cri,1987,8850.624544425662
civ,1987,11379.786305192398
hrv,1987,29701.947171396943
cub,1987,29112.36533630679
cyp,1987,6424.416896747689
cze,1987,91034.96865943825
dnk,1987,148017.0050982197
dji,1987,399.77507074049834
dom,1987,12418.078445376452
ecu,1987,22618.019114594204
egy,1987,49584.74594056054
slv,1987,6939.269251381825
gnq,1987,143.5726783004416
eri,1987,588.8138047494589
est,1987,10247.237565502017
eth,1987,5716.449372559984
fji,1987,1225.697141317592
fin,1987,99043.23594037301
fra,1987,1116820.8084824493
gab,1987,5419.793127270812
gmb,1987,272.02541255330414
geo,1987,13376.213728958122
deu,1987,1494099.794225536
gha,1987,6929.302176729531
grc,1987,120449.407610565
gtm,1987,11782.01503976793
gin,1987,1968.3757956148522
gnb,1987,347.820082033738
guy,1987,817.7998367907941
hti,1987,4331.164829188952
hnd,1987,4619.40413929882
hkg,1987,59601.124558031435
hun,1987,63983.301215630556
isl,1987,5155.954059713715
ind,1987,250181.55960466794
idn,1987,167663.00226682107
irn,1987,135846.08725438494
irq,1987,30752.09939725402
irl,1987,45521.968677503966
isr,1987,58597.514295972265
ita,1987,1050290.1481434482
jam,1987,5888.686714007527
jpn,1987,2641768.3981427765
jor,1987,6682.905334130565
kaz,1987,58904.588058744026
ken,1987,12394.03868110688
kwt,1987,32105.832543363336
