"Supplementary Table 3 - GHG food system emissions (Mt CO2eq, GWP-100 AR5), including LULUC. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country_code_A3,Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,
LCA,Saint Lucia,0.106,0.108,0.112,0.110,0.115,0.118,0.121,0.123,0.117,0.122,0.126,0.125,0.123,0.126,0.124,0.122,0.121,0.126,0.125,0.123,0.123,0.123,0.144,0.144,0.146,0.149,
LKA,Sri Lanka,18.735,17.716,17.774,18.204,18.792,18.548,16.618,16.493,15.760,16.601,16.155,16.323,16.777,17.579,16.312,17.943,16.594,16.067,17.888,17.169,18.422,19.448,19.727,20.262,18.093,19.362,
LSO,Lesotho,1.678,1.683,1.871,1.837,1.775,1.717,1.632,1.596,1.544,2.027,1.913,1.932,1.772,1.790,1.763,1.918,1.864,1.877,1.836,1.836,1.851,1.912,1.946,1.872,1.863,1.799,
LTU,Lithuania,17.369,16.674,18.081,15.231,14.320,13.738,13.756,13.654,13.626,12.897,12.811,12.687,13.058,13.360,13.577,13.771,14.093,15.808,16.091,14.580,14.686,17.599,17.839,17.166,17.370,17.793,
LUX,Luxembourg,1.514,1.545,1.607,1.601,1.613,1.479,1.477,1.442,1.408,1.505,1.864,1.938,1.911,1.915,2.091,2.143,2.146,2.067,2.100,2.036,2.115,2.093,2.057,2.007,2.014,1.935,
LVA,Latvia,9.696,9.050,10.795,9.553,7.627,6.921,6.905,6.728,6.604,6.461,6.325,7.070,7.592,7.892,7.954,8.120,10.938,11.187,11.066,10.904,11.154,8.599,8.708,8.771,8.859,9.039,
MAC,Macao,0.143,0.142,0.150,0.162,0.129,0.136,0.147,0.160,0.171,0.176,0.148,0.158,0.160,0.167,0.202,0.188,0.200,0.186,0.193,0.204,0.186,0.264,0.371,0.231,0.180,0.191,
MAR,Morocco,21.393,21.344,21.296,20.442,21.330,21.667,22.390,23.338,23.810,24.617,25.225,26.119,26.499,27.206,29.409,29.978,30.813,31.174,31.587,32.348,33.612,39.146,39.903,42.122,42.785,43.541,
MDA,"Moldova, Republic of",8.430,7.955,7.012,6.930,6.680,6.198,5.880,5.234,4.536,4.054,3.675,3.568,3.677,3.766,3.781,3.471,3.453,3.394,3.131,2.992,3.236,3.425,3.195,3.469,3.415,3.523,
MDG,Madagascar,68.386,68.305,68.518,68.820,68.429,68.626,67.215,66.178,67.475,66.907,64.825,54.739,46.744,48.396,50.835,54.806,72.024,74.232,70.797,78.103,77.972,48.676,44.223,48.763,46.366,45.610,
MDV,Maldives,0.041,0.042,0.044,0.050,0.050,0.059,0.061,0.060,0.066,0.067,0.068,0.071,0.091,0.101,0.091,0.086,0.098,0.104,0.114,0.128,0.136,0.180,0.220,0.189,0.166,0.166,
MEX,Mexico,195.049,195.970,195.847,197.907,199.790,198.010,199.934,204.230,216.245,209.991,211.735,206.179,207.778,216.534,212.666,221.512,221.484,224.493,226.889,228.551,227.277,231.552,228.449,234.596,232.700,237.555,
MHL,Marshall Islands,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,
MKD,"Macedonia, the former Yugoslav Republic of",3.075,2.858,2.847,2.832,3.174,3.067,3.091,2.835,2.793,2.599,2.839,2.628,2.555,2.538,2.724,2.711,2.712,2.744,2.668,2.496,2.517,2.613,2.588,2.459,2.441,2.414,
MLI,Mali,19.235,19.357,19.344,19.572,19.893,20.315,21.941,22.736,26.027,26.322,24.980,25.803,26.725,27.600,28.191,29.172,32.147,33.244,34.393,35.417,37.106,32.355,33.293,34.186,34.972,36.189,
MLT,Malta,0.299,0.282,0.287,0.333,0.377,0.364,0.371,0.409,0.413,0.432,0.421,0.480,0.466,0.514,0.522,0.560,0.583,0.615,0.599,0.578,0.637,0.631,0.601,0.566,0.573,0.491,
MMR,Myanmar,189.089,187.660,191.071,194.213,196.008,198.058,186.996,183.874,188.823,194.456,190.111,169.904,168.645,178.937,202.436,192.567,198.532,211.868,194.246,206.347,212.740,233.842,241.012,243.348,249.825,253.430,
MNG,Mongolia,34.512,35.085,34.610,34.576,34.151,35.038,35.870,42.415,37.219,37.194,40.711,34.502,34.805,30.367,31.118,32.104,24.571,25.969,25.907,22.194,18.123,37.166,39.426,39.550,41.716,46.869,
MNP,Northern Mariana Islands,0.002,0.062,0.063,0.063,0.063,0.063,0.063,0.064,0.064,0.064,0.064,0.064,0.064,0.064,0.064,0.064,0.064,0.064,0.064,0.064,0.064,0.064,0.064,0.064,0.064,0.064,
MOZ,Mozambique,42.847,42.955,43.167,43.424,43.598,43.769,43.357,42.617,43.461,43.148,42.154,55.708,48.879,46.160,44.858,46.630,45.050,46.106,46.394,45.755,45.849,45.634,46.949,48.277,48.595,48.065,
MRT,Mauritania,6.841,7.028,6.885,7.021,6.889,6.956,7.323,7.769,8.060,8.588,8.839,9.144,9.387,9.563,9.352,9.501,9.239,8.859,8.356,8.885,9.114,9.265,9.566,9.876,9.919,10.052,
MSR,Montserrat,0.058,0.059,0.060,0.060,0.060,0.060,0.060,0.061,0.062,0.063,0.063,0.027,0.026,0.026,0.027,0.027,0.027,0.028,0.028,0.028,0.028,0.028,0.032,0.030,0.030,0.030,
MTQ,Martinique,0.246,0.241,0.246,0.247,0.246,0.248,0.249,0.241,0.268,0.303,0.294,0.302,0.283,0.282,0.297,0.283,0.277,0.273,0.262,0.287,0.292,0.283,0.403,0.394,0.391,0.394,
MUS,Mauritius,0.711,0.708,0.725,0.717,0.732,0.747,0.772,0.769,0.779,0.801,0.853,1.005,1.000,0.994,1.027,1.036,0.875,0.879,0.885,0.896,0.916,0.920,0.909,0.913,0.930,0.935,
MWI,Malawi,11.866,11.896,11.857,11.950,11.729,11.853,12.356,12.229,12.580,12.375,12.988,15.396,14.334,14.796,14.224,14.986,14.203,14.655,15.242,15.537,16.614,12.801,13.434,13.689,14.116,15.078,
MYS,Malaysia,98.044,98.774,99.639,99.464,102.012,101.937,97.403,100.301,128.587,98.161,99.115,122.279,130.341,130.836,142.588,146.028,73.659,82.829,80.652,100.638,95.381,116.908,115.150,120.022,140.400,123.512,
MYT,Mayotte,0.065,0.065,0.066,0.067,0.068,0.068,0.069,0.070,0.071,0.071,0.072,0.083,0.084,0.085,0.086,0.086,0.073,0.074,0.075,0.075,0.076,0.077,0.078,0.079,0.080,0.081,
NAM,Namibia,13.131,13.361,13.233,12.962,12.936,12.908,14.337,14.392,14.967,15.185,16.270,14.830,14.582,14.603,14.599,16.144,14.697,14.715,15.318,15.259,15.277,15.258,16.431,15.803,16.378,16.428,
NCL,New Caledonia,0.412,0.429,0.444,0.433,0.362,0.374,0.381,0.393,0.361,0.388,0.378,0.384,0.408,0.388,0.435,0.407,0.393,0.396,0.425,0.446,0.495,0.623,0.742,0.626,0.548,0.524,
NER,Niger,17.762,18.241,18.709,19.273,19.806,20.337,21.126,21.695,22.485,22.941,23.508,19.135,19.875,20.576,21.340,22.101,22.870,23.725,24.602,25.446,26.111,24.993,26.134,27.318,28.484,29.708,
NGA,Nigeria,270.091,274.896,277.319,279.142,279.718,283.227,299.524,297.731,284.724,288.862,289.871,281.674,281.061,288.404,289.469,289.259,287.224,285.112,289.520,287.731,292.702,306.983,310.850,312.646,313.698,315.842,
NIC,Nicaragua,37.679,36.506,37.112,37.804,37.921,37.193,36.642,37.242,37.680,38.104,38.491,38.408,38.551,40.245,38.757,40.423,47.072,47.006,47.399,47.312,48.016,16.012,16.198,17.257,17.983,17.950,
NIU,Niue,0.046,0.046,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0.048,0.048,0.048,0.048,0.048,0.048,0.076,0.077,0.077,0.078,0.078,0.050,0.050,0.050,0.050,0.050,
NLD,Netherlands,65.962,67.828,68.394,68.736,67.948,67.512,69.789,66.979,66.635,66.204,65.399,64.515,62.898,62.569,63.280,62.183,61.822,61.759,57.796,56.488,58.334,56.311,56.179,55.935,54.928,57.115,
NOR,Norway,17.968,18.457,18.081,18.343,18.985,19.234,20.121,20.549,20.745,20.345,19.756,19.104,19.643,19.339,20.570,20.545,19.506,19.522,19.647,17.912,17.960,17.911,18.574,18.109,17.499,18.115,
NPL,Nepal,75.509,75.350,74.354,75.986,76.303,77.882,76.164,76.404,77.124,78.424,78.307,60.110,59.508,62.789,62.051,63.102,35.733,35.075,38.036,40.380,39.756,38.807,41.912,41.322,42.595,38.396,
NRU,Nauru,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.003,
NZL,New Zealand,49.760,49.133,48.996,49.325,50.920,51.791,51.522,52.467,51.808,52.425,52.409,53.189,54.860,55.874,56.018,56.303,58.684,58.439,57.395,58.904,59.473,56.829,57.775,57.226,58.315,57.294,
OMN,Oman,5.026,4.260,4.436,4.697,4.369,4.647,4.825,5.339,4.962,5.149,5.156,5.581,5.619,6.238,6.393,7.907,8.449,8.918,9.641,9.807,10.134,11.783,11.135,12.292,12.786,12.872,
PAK,Pakistan,155.237,156.511,157.746,163.718,165.454,169.338,174.969,177.800,181.143,185.525,187.053,188.060,191.676,199.286,205.402,209.589,221.580,229.761,236.122,241.672,238.163,248.991,249.747,260.403,269.854,273.600,
PAN,Panama,14.823,14.900,15.040,15.096,15.190,15.246,15.049,14.834,15.087,14.967,15.026,15.679,16.008,16.397,15.940,15.872,15.926,15.735,15.845,16.056,16.101,14.858,15.033,15.090,14.816,15.166,
PER,Peru,116.622,116.680,117.211,118.163,119.903,121.021,120.996,121.728,121.567,122.757,122.380,84.014,84.838,85.671,85.784,90.442,112.306,115.366,112.397,112.805,115.238,117.654,118.794,119.370,119.055,120.081,
PHL,Philippines,63.146,63.292,62.113,64.068,67.319,69.984,72.742,73.868,69.069,74.691,74.967,94.900,96.056,97.306,99.200,99.615,96.764,99.399,100.984,101.229,101.603,87.021,87.708,90.239,91.547,91.975,
PLW,Palau,0.201,0.200,0.183,0.188,0.280,0.230,0.213,0.257,0.221,0.233,0.161,0.178,0.109,0.134,0.117,0.133,0.133,0.106,0.121,0.209,0.208,0.287,0.465,0.220,0.150,0.143,
PNG,Papua New Guinea,49.545,49.549,49.600,49.636,49.594,51.851,38.600,151.475,41.937,43.006,44.235,40.149,62.166,50.849,88.337,47.433,59.752,44.390,50.416,45.511,53.656,43.620,45.032,46.934,55.997,113.641,
POL,Poland,119.259,115.910,111.883,113.857,114.097,115.320,120.026,120.137,113.412,109.647,106.549,103.900,103.252,103.149,102.438,105.387,104.161,105.594,104.064,102.006,104.244,103.776,103.533,101.570,100.420,100.335,
PRI,Puerto Rico,2.847,2.878,2.551,2.575,2.616,2.485,2.489,2.532,2.531,2.544,2.563,2.563,2.558,2.559,2.473,2.445,2.445,2.448,2.446,2.428,2.450,2.450,2.480,2.444,2.474,2.418,
PRK,"Korea, Democratic People's Republic of",32.605,32.196,31.792,31.591,30.459,29.500,28.726,29.275,28.302,29.308,29.543,30.256,30.474,30.897,32.089,31.849,32.017,32.241,32.448,32.841,32.257,32.900,32.088,31.853,32.266,31.320,
PRT,Portugal,20.888,21.163,21.363,20.983,21.510,22.240,22.757,23.411,24.696,25.969,25.765,24.990,25.812,25.064,24.608,25.813,23.922,23.696,23.226,22.717,22.361,21.476,20.824,20.453,20.479,21.216,
PRY,Paraguay,102.434,101.005,101.692,103.344,104.457,106.084,102.992,103.728,103.585,105.776,102.655,106.572,108.271,108.098,106.150,107.458,164.532,168.135,166.481,169.420,172.825,185.614,186.871,189.668,189.250,188.769,
PYF,French Polynesia,0.175,0.175,0.177,0.179,0.143,0.147,0.149,0.151,0.156,0.156,0.156,0.152,0.146,0.157,0.167,0.170,0.171,0.167,0.186,0.193,0.202,0.250,0.322,0.223,0.181,0.182,
QAT,Qatar,5.084,5.050,5.104,4.922,5.017,4.774,5.599,8.350,8.268,8.626,8.605,7.787,6.655,7.713,8.182,8.513,9.334,9.699,11.027,12.367,13.206,14.880,13.479,20.236,20.592,21.126,
REU,Reunion,0.210,0.236,0.240,0.260,0.264,0.302,0.316,0.344,0.374,0.395,0.403,0.532,0.538,0.557,0.585,0.589,0.497,0.500,0.509,0.530,0.519,0.571,0.584,0.493,0.504,0.530,
ROU,Romania,54.734,46.096,44.980,40.294,40.264,39.992,39.776,37.540,33.197,31.451,32.398,32.695,32.889,33.054,35.279,35.017,34.565,36.656,35.865,31.615,32.183,33.602,34.800,33.378,34.215,33.660,
RUS,Russian Federation,710.821,703.126,665.374,630.587,597.860,579.484,515.897,429.807,482.955,429.952,443.993,523.655,554.609,645.799,498.995,530.897,468.480,437.966,676.898,481.859,499.107,520.544,611.810,521.018,540.353,465.547,
RWA,Rwanda,5.838,5.852,5.738,5.571,5.439,5.269,4.819,5.051,5.240,5.293,5.191,5.455,5.494,7.611,6.545,7.355,7.188,6.323,7.876,7.086,7.580,7.325,7.082,8.096,6.961,8.885,
SAU,Saudi Arabia,32.193,32.594,33.035,33.488,37.477,35.608,36.887,37.832,37.686,37.431,39.689,40.443,41.238,43.010,44.582,46.452,48.878,51.629,53.744,53.700,55.752,59.370,63.438,65.363,68.911,71.409,
SCG,Serbia and Montenegro,13.950,13.141,13.213,13.059,12.695,13.539,14.742,15.343,15.458,14.313,14.012,14.916,15.274,15.460,16.954,17.113,16.915,18.386,18.697,18.033,19.306,21.127,21.177,20.923,20.151,20.563,
SDN,Sudan,327.100,328.833,334.609,339.256,343.258,344.661,301.833,315.071,334.230,331.949,333.608,353.945,441.793,329.820,414.199,369.108,370.936,365.908,379.336,519.311,400.553,463.860,427.603,343.077,262.427,322.718,
SEA,Int. Shipping,12.621,13.079,14.007,13.636,14.079,14.558,14.900,15.306,15.764,16.553,16.999,16.187,16.705,17.086,18.730,19.409,20.537,21.670,21.738,20.640,22.158,22.311,20.331,20.495,21.029,21.999,
SEN,Senegal,15.336,15.531,15.719,15.945,16.114,16.205,17.156,17.645,18.639,20.106,18.976,19.715,18.998,18.771,19.000,19.315,17.565,17.818,18.184,18.696,19.323,20.835,21.128,21.244,21.655,22.538,
SGP,Singapore,2.833,3.036,2.970,3.249,3.504,3.618,3.753,3.913,3.910,4.122,4.272,4.428,4.580,4.514,4.849,4.945,5.152,5.424,5.511,5.284,5.487,5.715,5.771,5.759,5.745,5.708,
SHN,Saint Helena,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.004,0.004,0.004,0.004,0.004,0.004,0.002,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,
SLB,Solomon Islands,1.797,1.800,1.804,1.806,1.803,1.806,1.808,1.810,1.811,1.814,1.818,1.757,1.759,1.762,1.769,1.774,1.837,1.841,1.849,1.853,1.859,1.874,1.893,1.879,1.874,1.878,
SLE,Sierra Leone,9.836,9.777,9.719,9.792,9.683,9.540,8.048,8.079,8.143,7.848,7.776,8.323,8.442,10.357,11.537,9.819,13.137,10.596,9.765,11.530,10.015,4.444,6.210,5.183,6.701,7.768,
SLV,El Salvador,5.635,5.857,5.960,5.840,5.995,5.717,6.158,6.418,6.012,6.141,5.964,6.326,6.421,6.306,6.551,6.623,6.750,6.775,6.715,6.646,6.470,6.217,6.511,6.240,6.522,6.559,
SOM,Somalia,39.816,37.035,35.115,37.031,38.795,39.454,39.985,40.482,40.464,40.694,41.029,41.594,41.899,42.034,42.381,42.838,41.631,40.548,40.605,40.664,40.869,41.091,41.419,41.555,41.782,42.047,
SPM,Saint Pierre and Miquelon,0.016,0.014,0.014,0.011,0.011,0.009,0.009,0.009,0.010,0.011,0.011,0.015,0.014,0.014,0.015,0.014,0.011,0.011,0.011,0.011,0.011,0.011,0.015,0.014,0.016,0.016,
STP,Sao Tome and Principe,0.030,0.032,0.032,0.032,0.033,0.035,0.036,0.037,0.037,0.038,0.039,0.040,0.042,0.044,0.044,0.045,0.301,0.298,0.302,0.304,0.304,0.058,0.060,0.061,0.063,0.065,
SUR,Suriname,4.833,4.906,4.993,4.865,4.867,4.936,3.908,3.993,4.499,3.736,3.584,3.724,5.297,8.618,7.104,4.467,4.847,4.114,5.219,5.987,5.003,4.995,5.107,5.408,5.469,6.722,
SVK,Slovakia,15.802,13.263,11.931,12.530,11.534,11.630,11.983,12.049,11.446,11.086,11.075,10.192,9.900,9.956,9.960,10.254,10.843,10.638,10.502,9.541,10.100,10.048,9.688,9.930,9.610,10.102,
SVN,Slovenia,4.336,3.967,3.785,3.902,3.896,3.922,4.241,4.387,4.435,4.482,4.609,4.843,5.014,5.175,5.085,5.119,5.663,5.644,5.682,5.295,5.259,5.021,4.958,4.861,4.869,4.858,
SWE,Sweden,53.352,52.626,52.867,53.482,53.734,53.873,54.325,54.745,54.819,54.490,55.128,56.223,56.940,57.723,58.475,57.166,70.401,69.869,69.627,69.216,69.787,56.669,56.407,55.749,56.482,56.340,
SWZ,Swaziland,1.932,2.010,2.045,1.792,1.829,1.858,2.020,2.001,2.002,1.997,1.939,1.732,1.751,1.886,1.897,1.884,1.807,2.056,1.955,1.792,1.829,1.816,1.838,1.797,1.802,1.787,
SYC,Seychelles,0.062,0.069,0.067,0.068,0.068,0.075,0.076,0.084,0.081,0.082,0.079,0.079,0.095,0.098,0.102,0.100,0.118,0.108,0.111,0.119,0.111,0.128,0.132,0.118,0.118,0.121,
SYR,Syrian Arab Republic,13.514,13.973,14.970,14.932,15.884,16.234,16.851,16.975,17.249,16.780,16.996,15.742,16.256,16.555,18.764,21.468,22.177,23.087,22.149,21.417,20.486,20.818,18.956,16.801,16.081,15.838,
TCA,Turks and Caicos Islands,0.005,0.005,0.005,0.006,0.006,0.007,0.007,0.007,0.007,0.008,0.009,0.010,0.010,0.007,0.010,0.010,0.010,0.013,0.018,0.020,0.022,0.022,0.033,0.031,0.029,0.029,
TCD,Chad,17.537,17.754,17.909,18.011,18.137,18.484,20.350,22.456,26.141,26.188,24.060,20.764,21.060,21.366,21.714,22.069,40.607,41.305,41.738,42.155,42.890,43.271,44.160,44.668,46.138,45.137,
TGO,Togo,8.882,8.799,8.596,8.621,8.770,8.601,8.955,9.022,9.240,9.503,9.274,9.218,9.290,9.313,9.382,9.504,9.440,9.495,9.587,9.918,9.908,9.942,10.398,10.497,10.553,10.734,
THA,Thailand,124.328,128.803,132.054,133.305,134.550,133.335,134.508,137.800,130.851,133.190,128.976,179.863,182.064,188.240,198.519,198.418,165.104,173.521,174.413,179.289,187.370,167.962,172.890,170.621,165.661,158.209,
TJK,Tajikistan,6.175,6.352,6.284,5.711,5.554,5.320,4.988,4.902,4.707,4.604,4.628,4.677,4.880,5.079,5.404,5.646,5.958,6.131,6.990,7.376,7.493,7.758,8.367,8.800,9.139,9.567,
TKL,Tokelau,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
TKM,Turkmenistan,12.516,11.847,9.211,11.290,12.495,12.594,12.223,10.703,11.241,13.505,14.896,15.711,17.638,19.970,21.079,21.290,23.069,23.281,24.631,21.909,23.168,24.333,26.201,26.990,27.469,27.706,
TLS,Timor-Leste,5.641,5.750,5.741,5.779,5.860,5.897,5.929,5.929,5.986,5.926,6.006,5.652,5.637,5.617,5.482,5.557,5.423,5.346,5.355,5.288,5.182,5.162,5.226,5.097,5.086,5.041,
TON,Tonga,0.100,0.100,0.105,0.105,0.105,0.101,0.102,0.102,0.103,0.104,0.106,0.106,0.106,0.106,0.107,0.107,0.107,0.110,0.113,0.115,0.117,0.126,0.142,0.124,0.115,0.116,
TTO,Trinidad and Tobago,5.521,5.739,5.843,5.510,5.836,5.680,6.166,6.058,7.063,8.004,8.139,9.002,9.655,10.439,11.315,14.069,14.440,14.388,14.311,13.955,15.399,15.515,13.522,12.520,12.628,12.776,
TUN,Tunisia,7.646,8.122,8.501,8.990,8.895,9.035,9.500,9.338,9.689,10.002,10.290,10.244,10.062,9.932,10.266,11.332,11.878,11.970,12.414,12.521,12.683,12.610,13.015,12.905,13.468,13.505,
TUR,Turkey,75.998,75.419,77.604,80.149,77.351,78.842,80.867,81.972,82.066,83.331,83.403,80.304,80.988,82.622,85.581,86.451,96.801,100.280,103.723,104.890,106.182,107.894,109.191,115.867,120.740,121.747,
TUV,Tuvalu,0.004,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,
TWN,Taiwan_Province of China,30.385,30.843,30.828,31.441,31.934,32.270,32.554,31.850,31.079,30.778,31.337,31.184,32.179,32.829,33.539,33.967,32.976,31.821,31.093,29.931,30.335,31.186,30.659,30.539,30.379,30.342,
TZA,Tanzania_United Republic of,270.210,270.526,270.595,271.194,271.495,274.876,278.238,264.047,279.317,276.542,253.448,289.209,275.180,293.703,296.289,308.918,280.957,288.831,292.228,282.283,281.447,278.136,270.785,268.787,270.395,279.198,
UGA,Uganda,34.093,34.602,34.892,35.315,35.025,35.434,35.501,35.827,37.406,37.544,37.557,35.934,38.913,40.798,42.188,43.310,48.677,46.008,55.086,56.416,56.534,57.663,58.590,59.454,60.568,62.329,
UKR,Ukraine,192.339,183.388,159.093,148.841,138.298,125.089,111.772,105.308,95.299,90.547,86.014,85.377,92.118,87.916,88.514,94.623,89.323,91.264,91.364,80.508,82.077,86.109,85.957,82.066,82.529,80.755,
URY,Uruguay,26.795,28.242,29.781,30.761,31.213,31.269,31.939,31.479,30.898,31.104,30.439,30.545,31.669,32.695,33.821,34.335,35.289,34.627,36.063,35.507,33.762,33.957,33.154,33.245,33.801,33.621,
USA,United States,1204.319,1215.304,1230.277,1236.366,1261.299,1354.312,1317.052,1335.585,1350.458,1387.255,1411.970,1405.721,1451.604,1451.411,1556.554,1539.365,1547.944,1687.204,1517.621,1489.593,1500.705,1533.755,1448.819,1440.518,1473.350,1470.149,
UZB,Uzbekistan,40.437,39.401,38.370,38.140,37.548,38.544,41.875,42.940,41.343,41.579,41.132,41.404,42.822,43.427,45.274,45.389,47.926,49.381,51.501,52.063,54.499,57.310,60.399,61.130,62.781,64.561,
VCT,Saint Vincent and the Grenadines,0.053,0.052,0.053,0.053,0.056,0.056,0.057,0.057,0.059,0.063,0.062,0.062,0.066,0.065,0.067,0.066,0.067,0.071,0.074,0.073,0.073,0.072,0.081,0.076,0.074,0.074,
VEN,Venezuela,193.555,193.806,194.792,195.757,196.787,198.203,190.496,192.164,197.204,195.298,197.332,223.564,196.187,218.963,200.120,208.839,104.117,111.856,102.982,98.739,118.351,140.670,149.884,173.100,159.054,164.270,
VGB,Virgin Islands_British,0.014,0.015,0.015,0.015,0.015,0.015,0.016,0.016,0.017,0.018,0.018,0.017,0.017,0.017,0.018,0.018,0.014,0.018,0.018,0.019,0.019,0.019,0.026,0.025,0.028,0.029,
VIR,Virgin Islands_USA,0.064,0.065,0.065,0.065,0.066,0.066,0.067,0.067,0.066,0.066,0.066,0.068,0.069,0.071,0.073,0.075,0.062,0.063,0.063,0.063,0.064,0.064,0.064,0.065,0.065,0.066,
VNM,Viet Nam,90.198,92.117,93.682,95.114,97.695,98.973,100.671,101.123,105.614,107.284,107.589,106.227,113.497,114.369,119.850,123.193,126.972,131.238,129.312,132.480,149.024,152.661,154.581,157.910,160.560,163.308,
VUT,Vanuatu,0.388,0.395,0.419,0.444,0.448,0.450,0.455,0.460,0.465,0.470,0.450,0.426,0.426,0.448,0.450,0.457,0.466,0.548,0.551,0.523,0.538,0.555,0.566,0.554,0.551,0.561,
WLF,Wallis and Futuna,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.015,0.015,0.015,0.015,0.015,0.014,
WSM,Samoa,0.185,0.184,0.181,0.184,0.182,0.179,0.181,0.182,0.187,0.185,0.185,0.199,0.199,0.201,0.204,0.205,0.204,0.196,0.195,0.203,0.214,0.233,0.238,0.237,0.234,0.252,
YEM,Yemen,7.309,7.401,7.704,7.851,8.953,9.425,9.896,10.473,10.971,11.716,12.415,13.025,13.540,14.969,15.553,16.463,17.633,19.521,19.541,17.434,17.388,16.832,16.525,18.295,18.464,15.515,
ZAF,South Africa,76.665,76.730,76.189,75.796,77.691,79.309,80.132,81.545,83.249,81.688,77.713,80.421,83.215,85.779,88.737,91.824,87.738,92.782,93.004,96.758,96.225,96.159,97.767,98.563,100.391,99.335,
ZMB,Zambia,437.339,437.503,437.468,437.408,437.023,436.675,408.471,372.942,379.669,344.686,387.694,373.118,422.917,441.233,454.323,528.456,450.547,420.160,437.482,383.550,427.803,423.241,443.864,456.009,429.032,458.789,
ZWE,Zimbabwe,54.891,53.072,53.881,51.077,51.590,51.691,54.092,54.174,54.903,56.739,56.833,57.344,54.970,54.019,53.172,53.374,53.733,54.347,53.838,54.927,55.245,53.986,54.211,54.321,51.675,51.738,
