"Supplementary Table 3 - GHG food system emissions (Mt CO2eq, GWP-100 AR5), including LULUC. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country_code_A3,Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,
BOL,Bolivia,100.853,101.571,102.157,103.303,103.732,102.865,100.557,101.813,101.714,107.066,100.257,99.136,104.848,101.397,116.150,111.478,172.659,181.252,175.493,173.647,204.535,122.428,117.168,116.487,116.452,118.222,
BRA,Brazil,1586.312,1610.471,1628.897,1646.778,1672.420,1695.745,1677.151,1689.849,1705.824,1706.964,1708.530,1925.743,1968.884,2008.163,2032.447,2043.702,1560.439,1576.291,1568.351,1574.573,1623.714,1270.321,1277.994,1282.537,1301.284,1327.035,
BRB,Barbados,0.269,0.273,0.273,0.261,0.261,0.260,0.260,0.266,0.285,0.310,0.354,0.377,0.362,0.371,0.336,0.351,0.340,0.336,0.342,0.356,0.359,0.359,0.430,0.442,0.442,0.455,
BRN,Brunei Darussalam,2.249,2.370,2.386,2.355,2.413,2.455,2.637,2.902,6.985,2.731,2.841,2.935,2.807,3.058,2.880,2.941,3.199,3.225,3.408,3.387,3.352,2.050,2.102,2.102,2.215,2.096,
BTN,Bhutan,0.869,0.890,0.845,0.825,0.820,0.895,0.850,0.842,0.845,0.888,0.821,0.763,0.737,0.741,0.767,0.876,0.859,0.963,0.784,0.835,0.924,0.886,1.009,0.851,0.857,0.841,
BWA,Botswana,66.590,65.863,65.614,65.371,65.967,67.018,79.731,90.904,100.779,86.030,74.556,59.131,148.277,99.523,41.551,87.652,48.474,91.521,45.118,39.168,34.681,36.577,36.404,68.584,37.103,133.235,
CAF,Central African Republic,12.910,13.304,13.393,13.480,13.661,13.856,15.334,18.409,21.527,20.442,19.066,15.057,14.805,15.572,15.158,15.802,15.380,15.960,16.473,16.158,16.543,17.250,17.437,17.425,17.096,17.717,
CAN,Canada,271.184,271.943,276.314,278.775,281.331,285.027,265.416,249.672,347.842,285.567,257.022,244.915,317.005,319.735,288.791,302.345,318.962,305.459,310.382,265.358,335.494,285.106,317.845,376.517,339.824,383.409,
CHE,Switzerland,12.090,12.125,11.701,11.691,11.730,11.522,11.486,11.647,11.758,12.546,12.635,12.946,12.767,12.854,12.970,13.230,13.527,13.602,13.724,13.394,13.532,13.376,13.244,13.445,13.492,13.134,
CHL,Chile,20.135,20.561,21.577,22.230,23.208,23.839,24.696,25.543,25.153,25.692,26.124,25.869,26.361,26.492,27.646,27.766,35.717,36.305,37.013,36.605,35.662,29.286,29.850,28.070,28.615,31.993,
CHN,China,1679.160,1691.530,1681.000,1673.410,1704.920,1827.869,1761.449,1767.767,1790.136,1771.185,1670.961,1683.884,1710.772,1775.941,1965.117,2069.527,2143.294,2199.925,2234.672,2287.028,2290.355,2366.264,2371.182,2409.913,2417.726,2418.637,
CIV,Cote d'Ivoire,8.972,9.191,9.357,9.376,9.652,10.171,9.947,10.575,10.926,11.099,11.050,11.306,11.223,11.034,11.351,11.506,20.835,21.691,21.156,22.033,21.587,15.779,17.368,17.103,17.472,17.627,
CMR,Cameroon,130.140,130.139,130.224,130.519,134.614,134.486,129.709,129.647,131.857,131.827,132.005,131.826,130.223,136.608,134.770,140.173,132.930,136.351,137.794,135.006,133.253,133.900,133.211,142.338,136.357,141.366,
COD,Congo_the Democratic Republic of the,173.505,173.405,173.921,174.030,174.745,174.408,185.247,191.237,192.139,186.540,183.261,169.685,168.809,172.909,175.464,177.929,174.078,176.497,176.429,177.243,176.950,181.000,180.301,185.760,181.444,181.812,
COG,Congo,36.085,36.112,36.133,36.190,36.183,36.459,18.565,18.726,18.635,18.918,18.093,24.246,19.688,31.394,35.813,44.902,43.270,38.566,33.064,30.691,38.185,44.971,42.775,45.258,27.120,41.618,
COK,Cook Islands,0.013,0.012,0.014,0.015,0.014,0.015,0.015,0.016,0.016,0.015,0.014,0.014,0.013,0.013,0.014,0.015,0.014,0.014,0.015,0.015,0.016,0.019,0.024,0.017,0.015,0.014,
COL,Colombia,233.794,233.643,235.513,237.952,238.459,239.386,237.469,238.682,239.052,234.881,236.360,273.199,273.199,281.994,282.185,277.027,269.168,274.007,273.636,274.343,276.343,119.970,115.287,114.055,117.405,115.055,
COM,Comoros,0.312,0.313,0.318,0.325,0.327,0.333,0.333,0.337,0.346,0.354,0.342,0.379,0.386,0.380,0.383,0.453,0.407,0.401,0.421,0.423,0.433,0.474,0.483,0.493,0.503,0.517,
